Layer name, IFMAP Height, IFMAP Width, Filter Height, Filter Width, Channels, Num Filter, Strides,
Conv1_1, 224, 224, 3, 3, 3, 64, 1,
Conv1_2, 224, 224, 3, 3, 64, 64, 1,
Conv2_1, 112, 112, 3, 3, 64, 128, 1,
Conv2_2, 112, 112, 3, 3, 128, 128, 1,
Conv3_1, 56, 56, 3, 3, 128, 256, 1,
Conv3_2, 56, 56, 3, 3, 256, 256, 1,
Conv3_3, 56, 56, 3, 3, 256, 256, 1,
Conv3_4, 56, 56, 3, 3, 256, 256, 1,
Conv4_1, 28, 28, 3, 3, 256, 512, 1,
Conv4_2, 28, 28, 3, 3, 512, 512, 1,
Conv4_3, 28, 28, 3, 3, 512, 512, 1,
Conv4_4, 28, 28, 3, 3, 512, 512, 1,
Conv5_1, 14, 14, 3, 3, 512, 512, 1,
Conv5_2, 14, 14, 3, 3, 512, 512, 1,
Conv5_3, 14, 14, 3, 3, 512, 512, 1,
Conv5_4, 14, 14, 3, 3, 512, 512, 1,
FC1, 7, 7, 1, 1, 512, 4096, 1,
FC2, 4096, 1, 1, 1, 1, 4096, 1,
FC3, 4096, 1, 1, 1, 1, 1000, 1, 
